payment_id,order_id,amount,currency,status,method,fee,tax,created_at
pay_JO1BEuVx518ox1,order_ztD4x9XOj7h7ug,14500.53,INR,captured,netbanking,290.01,52.2,2026-08-15 05:54:57
pay_4ai18eWqMyeuPH,order_7M3EHMoQrof8VR,42329.45,INR,captured,upi,846.59,152.39,2026-08-13 18:23:19
pay_sbudwApzQlkLxQ,order_EKoNCP3CrHe69s,5475.11,INR,captured,card,109.5,19.71,2026-08-17 20:17:05
pay_0mxDoJJ9s8OrJQ,order_UdLE4rXLvNMQSO,48120.44,INR,captured,netbanking,962.41,173.23,2026-08-12 02:07:34
pay_OtBJTfsUkiH8G4,order_ZpZDYUvh7i71S8,41997.69,INR,refunded,upi,839.95,151.19,2026-08-16 05:31:15
pay_XaHCPPKY6gob2I,order_4ndZ4szi6sEg3i,48379.85,INR,captured,netbanking,967.6,174.17,2026-08-03 04:36:18
pay_UjzgEz6cwB61gQ,order_H8wylh0CPNLbWp,22955.37,INR,captured,wallet,459.11,82.64,2026-08-15 06:09:01
pay_ZIKYoWWKr99HXg,order_1iwWKaqhAhdBwK,6733.23,INR,captured,card,134.66,24.24,2026-08-02 15:58:05
pay_cW1GC7dDyQE4ef,order_LerNHu9GCLgR0O,22874.27,INR,captured,card,457.49,82.35,2026-08-15 22:19:32
pay_BovCzfAPxj5eZf,order_fTYIKIuhvPU1S8,38563.66,INR,captured,card,771.27,138.83,2026-08-11 10:32:02
pay_JnOng0wVJY08YM,order_Nb5ZqlRtva1Jyi,30220.3,INR,captured,netbanking,604.41,108.79,2026-08-03 12:21:06
pay_UnAvwSWJfdjMPq,order_PEBqUhArQEPcyL,31842.01,INR,captured,upi,636.84,114.63,2026-08-03 05:27:09
pay_VVrhEAiHoIPvyU,order_BCetAzNrz7k6CQ,880.51,INR,captured,netbanking,17.61,3.17,2026-08-06 03:03:09
pay_pKGytvukFhF4vT,order_YYojmLVOkVEUVB,18411.71,INR,captured,wallet,368.23,66.28,2026-08-03 13:40:11
pay_tBDNXKveCcwrN8,order_fKxJ7Tc4JlLF7B,46245.64,INR,refunded,netbanking,924.91,166.48,2026-08-16 05:22:50
pay_fOcR9GLw4yWQdN,order_uuIxp07LjfP4tO,40642.86,INR,captured,netbanking,812.86,146.31,2026-08-18 08:07:08
pay_RfINuhR694fPFb,order_t6vVl9jsWFHTGP,33275.69,INR,captured,card,665.51,119.79,2026-08-15 10:38:11
pay_xkZVYkBzPoBrUB,order_HtYDZw69CrxG7Y,43881.44,INR,captured,card,877.63,157.97,2026-08-15 11:55:16
pay_dDx5SFhfjBFZf4,order_Y25zyxxfntgSuj,40162.33,INR,captured,card,803.25,144.59,2026-08-07 01:38:14
pay_ZVDM4bnj6LAWoh,order_oNMdZEHNJSsavJ,2396.01,INR,captured,wallet,47.92,8.63,2026-08-17 21:29:28
pay_8eGF9IyDN8pbWv,order_TMVTucHYkWCRNY,9772.04,INR,captured,upi,195.44,35.18,2026-08-13 16:57:06
pay_scmc5F9HpUlwW1,order_uhw3U3x8EE5GXT,3623.48,INR,captured,wallet,72.47,13.04,2026-08-01 21:32:40
pay_sgusBSkBBT4MAN,order_XdPzFUjb0QBhoO,4406.89,INR,captured,card,88.14,15.87,2026-08-14 05:45:42
pay_jBwBeiwtr7blG4,order_hWRnLR9miekS9Y,18426.45,INR,captured,upi,368.53,66.34,2026-08-15 16:29:35
